Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Travel_Rarely,1102,Sales,1,2,Computer Science,1,1,2,Female,94,3,2,Software Engineer,4,Single,80674,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5
49,No,Travel_Frequently,279,Research & Development,8,1,Computer Science,1,2,3,Male,61,2,2,Data Scientist,2,Married,83897,24907,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7
37,Yes,Travel_Rarely,1373,Research & Development,2,2,Civil,1,4,4,Male,92,2,1,QA Engineer,3,Single,70406,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0
33,No,Travel_Frequently,1392,Research & Development,3,4,Computer Science,1,5,4,Female,56,3,1,Data Scientist,3,Married,87570,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0
27,No,Travel_Rarely,591,Research & Development,2,1,Information Technology,1,7,1,Male,40,3,1,QA Engineer,2,Married,68615,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2
32,No,Travel_Frequently,1005,Research & Development,2,2,Computer Science,1,8,4,Male,79,3,1,QA Engineer,4,Single,41534,11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6
59,No,Travel_Rarely,1324,Research & Development,3,3,Information Technology,1,10,3,Female,81,4,1,QA Engineer,1,Married,49402,9964,4,Y,Yes,20,4,1,80,3,12,3,2,1,0,0,0
30,No,Travel_Rarely,1358,Research & Development,24,1,Computer Science,1,11,4,Male,67,3,1,QA Engineer,3,Divorced,66335,13335,1,Y,No,22,4,2,80,1,1,2,3,1,0,0,0
38,No,Travel_Frequently,216,Research & Development,23,3,Computer Science,1,12,4,Male,44,2,3,DevOps Engineer,3,Single,77995,8787,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8
36,No,Travel_Rarely,1299,Research & Development,27,3,Information Technology,1,13,3,Male,94,3,2,Support Engineer,3,Married,40704,16577,6,Y,No,13,3,2,80,2,17,3,2,7,7,7,7
35,No,Travel_Rarely,809,Research & Development,16,3,Information Technology,1,14,1,Male,84,4,1,QA Engineer,2,Married,51315,16479,0,Y,No,13,3,3,80,1,6,5,3,5,4,0,3
29,No,Travel_Rarely,153,Research & Development,15,2,Computer Science,1,15,4,Female,49,2,2,QA Engineer,3,Single,55345,12682,0,Y,Yes,12,3,4,80,0,10,3,3,9,5,0,8
31,No,Travel_Rarely,670,Research & Development,26,1,Computer Science,1,16,1,Male,31,3,1,Data Scientist,3,Divorced,116044,15170,1,Y,No,17,3,4,80,1,5,1,2,5,2,4,3
34,No,Travel_Rarely,1346,Research & Development,19,2,Information Technology,1,18,2,Male,93,3,1,QA Engineer,4,Divorced,77730,8758,0,Y,No,11,3,3,80,1,3,2,3,2,2,1,2
28,Yes,Travel_Rarely,103,Research & Development,24,3,Computer Science,1,19,3,Male,50,2,1,QA Engineer,3,Single,78285,12947,5,Y,Yes,14,3,2,80,0,6,4,3,4,2,0,3
29,No,Travel_Rarely,1389,Research & Development,21,4,Computer Science,1,20,2,Female,51,4,3,DevOps Engineer,1,Divorced,92525,10195,1,Y,No,11,3,3,80,1,10,1,3,10,9,8,8
32,No,Travel_Rarely,334,Research & Development,5,2,Computer Science,1,21,1,Male,80,4,1,Data Scientist,2,Divorced,86229,15053,0,Y,Yes,12,3,4,80,2,7,5,2,6,2,0,5
22,No,Non-Travel,1123,Research & Development,16,2,Information Technology,1,22,4,Male,96,4,1,QA Engineer,4,Divorced,73748,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0
53,No,Travel_Rarely,1219,Sales,2,4,Computer Science,1,23,1,Female,78,2,4,Engineering Manager,4,Married,207115,22021,2,Y,No,16,3,3,80,0,31,3,3,25,8,3,7
38,No,Travel_Rarely,371,Research & Development,2,3,Computer Science,1,24,4,Male,45,3,1,Data Scientist,4,Single,193773,4306,5,Y,Yes,11,3,3,80,0,6,3,3,3,2,1,2
24,No,Non-Travel,673,Research & Development,11,2,Civil,1,26,1,Female,96,4,2,DevOps Engineer,3,Divorced,137038,8232,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3
36,Yes,Travel_Rarely,1218,Sales,9,4,Computer Science,1,27,3,Male,82,2,1,Junior Developer,1,Single,40917,6986,7,Y,No,23,4,2,80,0,10,4,3,5,3,0,3
34,No,Travel_Rarely,419,Research & Development,7,4,Computer Science,1,28,1,Female,53,3,3,Tech Lead,2,Single,209896,21293,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,11
21,No,Travel_Rarely,391,Research & Development,15,2,Computer Science,1,30,3,Male,96,3,1,Data Scientist,4,Single,168320,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0
34,Yes,Travel_Rarely,699,Research & Development,6,1,Information Technology,1,31,2,Male,83,3,1,Data Scientist,1,Single,116998,17102,2,Y,No,11,3,3,80,0,8,2,3,4,2,1,3
53,No,Travel_Rarely,1282,Research & Development,5,3,Civil,1,32,3,Female,58,3,5,Engineering Manager,3,Divorced,164135,10735,4,Y,No,11,3,4,80,1,26,3,2,14,13,4,8
